['119', '72', '936', '982', '62', '165', '856', '123', '632', '931', '105', '794', '172', '370', '732', '891', '588', '284', '926', '252', '880', '730', '649', '255', '864', '657', '565', '43', '425', '698', '677']
['583', '797', '455', '401', '781', '433', '184', '340', '894', '377', '641', '97', '556', '901', '331', '805', '862', '122', '937', '381', '528', '273', '374', '519', '254', '593', '511', '317', '863', '828', '504']
['613', '177', '419', '935', '958', '578', '542', '193', '324', '676', '589', '731', '287', '570', '406', '549', '51', '575', '932', '482', '387', '171', '530', '905', '843', '664', '24', '899', '548', '656', '653']
['617', '325', '155', '944', '802', '290', '207', '837', '466', '168', '234', '761', '831', '118', '262', '457', '786', '516', '821', '801', '6', '274', '961', '320', '92', '342', '59', '222', '40', '321', '624']
['663', '409', '434', '300', '973', '481', '561', '435', '298', '740', '121', '955', '215', '907', '220', '251', '683', '265', '869', '312', '850', '712', '476', '555', '962', '990', '203', '840', '858', '727', '957']
['67', '143', '77', '930', '909', '294', '188', '604', '103', '2', '282', '922', '756', '78', '985', '546', '307', '501', '833', '15', '25', '0', '458', '454', '580', '75', '669', '280', '885', '562', '191']
['694', '373', '187', '550', '176', '537', '628', '147', '170', '981', '818', '976', '851', '164', '124', '36', '924', '148', '811', '635', '227', '217', '636', '20', '523', '601', '210', '594', '623', '159', '979']
['736', '520', '668', '972', '268', '671', '714', '361', '629', '620', '450', '407', '607', '925', '861', '494', '619', '611', '568', '728', '459', '502', '55', '204', '283', '271', '109', '53', '391', '441', '890']
['754', '615', '205', '882', '242', '200', '281', '865', '543', '308', '346', '393', '150', '672', '839', '717', '923', '567', '136', '13', '243', '221', '398', '823', '60', '278', '576', '918', '844', '996', '968']
['772', '228', '190', '768', '490', '261', '827', '934', '726', '564', '472', '88', '42', '609', '661', '364', '250', '547', '633', '721', '816', '815', '140', '98', '696', '790', '921', '686', '180', '868', '659']
['8', '114', '432', '952', '336', '365', '527', '54', '376', '718', '702', '310', '911', '292', '412', '112', '938', '652', '769', '755', '296', '411', '363', '512', '348', '178', '933', '229', '782', '741', '418']
['82', '162', '33', '639', '133', '984', '812', '115', '637', '582', '506', '206', '79', '73', '447', '719', '591', '978', '231', '517', '202', '108', '908', '538', '963', '402', '94', '939', '759', '838', '47']
['853', '503', '835', '949', '892', '539', '739', '175', '428', '634', '660', '518', '415', '558', '764', '480', '289', '4', '344', '137', '778', '35', '846', '86', '810', '372', '630', '995', '27', '621', '208']
['941', '994', '189', '904', '919', '230', '129', '301', '196', '724', '350', '438', '7', '126', '45', '993', '305', '706', '328', '495', '18', '153', '534', '421', '716', '85', '156', '286', '970', '225', '964']
['942', '819', '626', '349', '553', '884', '500', '832', '16', '625', '267', '540', '499', '389', '141', '404', '920', '488', '326', '912', '841', '670', '366', '11', '651', '916', '146', '965', '87', '263', '992']
['950', '975', '943', '355', '883', '529', '272', '93', '362', '813', '928', '144', '102', '638', '338', '423', '876', '987', '748', '214', '563', '236', '587', '32', '789', '467', '966', '498', '848', '643', '870']
['959', '259', '956', '758', '640', '798', '201', '986', '334', '96', '70', '877', '566', '128', '888', '430', '820', '431', '796', '1', '749', '829', '599', '910', '489', '585', '581', '744', '182', '886', '665']
