['102', '315', '124', '298', '579']
['737', '322', '162', '27', '670']
['748', '728', '786', '919', '70']
['75', '872', '76', '175', '117']
['751', '210', '826', '602', '744']
['754', '492', '485', '141', '951']
['766', '625', '297', '420', '339']
['769', '539', '267', '195', '7']
['780', '442', '310', '504', '510']
['781', '718', '803', '115', '152']
['81', '790', '418', '236', '372']
['810', '284', '548', '761', '300']
['811', '913', '618', '105', '893']
['818', '901', '632', '715', '213']
['824', '274', '469', '43', '505']
['829', '92', '964', '694', '55']
['830', '457', '954', '233', '271']
['837', '73', '787', '125', '91']
['839', '556', '540', '612', '992']
['841', '145', '960', '711', '614']
['842', '572', '250', '178', '273']
['846', '621', '897', '402', '176']
['847', '528', '437', '762', '927']
['851', '101', '476', '405', '965']
['857', '549', '768', '439', '179']
['862', '889', '648', '763', '719']
['871', '850', '47', '844', '66']
['876', '966', '943', '745', '126']
['881', '248', '243', '123', '749']
['883', '743', '825', '538', '788']
['886', '729', '120', '401', '902']
['896', '613', '693', '643', '684']
['9', '345', '812', '415', '584']
['900', '406', '394', '212', '560']
['903', '98', '726', '335', '200']
['904', '583', '139', '800', '619']
['905', '260', '410', '666', '890']
['907', '587', '564', '26', '258']
['914', '576', '802', '891', '971']
['915', '364', '461', '78', '440']
['931', '627', '256', '385', '245']
['939', '478', '675', '936', '188']
['94', '679', '327', '867', '196']
['941', '596', '21', '696', '163']
['944', '733', '833', '29', '389']
['948', '174', '293', '592', '920']
['950', '417', '180', '519', '855']
['955', '981', '773', '865', '138']
['959', '682', '358', '33', '407']
['967', '53', '430', '237', '558']
['97', '278', '283', '472', '49']
['975', '934', '765', '482', '344']
['977', '544', '616', '884', '330']
['978', '384', '338', '413', '595']
['984', '142', '324', '377', '926']
['997', '589', '334', '488', '129']
['998', '475', '146', '286', '333']
