['104', '843', '463', '208', '502', '414', '365']
['382', '772', '289', '534', '619', '191', '322']
['391', '210', '872', '896', '633', '337', '895']
['398', '972', '779', '824', '853', '752', '644']
['40', '214', '376', '481', '261', '202', '636']
['42', '678', '688', '705', '582', '215', '470']
['422', '739', '29', '99', '69', '8', '657']
['425', '800', '454', '865', '277', '819', '634']
['437', '45', '888', '399', '602', '112', '681']
['439', '394', '849', '83', '461', '794', '319']
['449', '886', '683', '127', '185', '630', '430']
['451', '902', '173', '332', '362', '450', '605']
['469', '248', '436', '347', '194', '631', '533']
['479', '795', '474', '642', '871', '66', '696']
['486', '826', '164', '590', '597', '647', '868']
['487', '628', '124', '109', '44', '70', '725']
['499', '92', '142', '960', '968', '467', '757']
['503', '700', '152', '390', '386', '740', '443']
['506', '777', '859', '407', '916', '568', '837']
['510', '773', '429', '909', '426', '722', '550']
['513', '969', '560', '102', '26', '125', '384']
['518', '484', '38', '949', '655', '786', '53']
['530', '554', '15', '159', '903', '666', '64']
['544', '566', '338', '815', '863', '313', '715']
['545', '954', '618', '841', '731', '385', '435']
['547', '501', '230', '950', '156', '148', '958']
['551', '88', '627', '913', '919', '933', '177']
['552', '761', '648', '920', '160', '620', '13']
['570', '73', '572', '374', '89', '850', '799']
['575', '427', '428', '184', '543', '418', '317']
['583', '596', '577', '193', '701', '228', '54']
['6', '595', '237', '624', '387', '68', '395']
['61', '668', '325', '409', '255', '885', '806']
['612', '356', '480', '674', '412', '82', '85']
['613', '18', '579', '934', '721', '743', '692']
['640', '155', '240', '310', '162', '735', '857']
['65', '465', '870', '466', '488', '578', '307']
['654', '883', '723', '690', '134', '943', '812']
['662', '445', '561', '848', '259', '918', '351']
['671', '406', '877', '493', '233', '84', '890']
['675', '140', '866', '964', '875', '571', '340']
['686', '459', '250', '763', '546', '589', '74']
['689', '4', '804', '553', '447', '117', '103']
['691', '462', '145', '402', '719', '475', '251']
['694', '893', '495', '239', '508', '219', '180']
['7', '316', '891', '87', '928', '302', '137']
['71', '161', '149', '861', '333', '748', '217']
['711', '67', '318', '680', '49', '5', '708']
['716', '658', '282', '281', '767', '203', '417']
['72', '747', '587', '393', '594', '321', '704']
['724', '762', '346', '58', '170', '490', '765']
['729', '558', '548', '756', '350', '798', '637']
['742', '509', '931', '766', '732', '460', '632']
['753', '274', '651', '894', '75', '39', '381']
['754', '204', '542', '673', '769', '181', '720']
['76', '101', '279', '938', '432', '197', '273']
['760', '936', '176', '521', '280', '621', '298']
['781', '586', '646', '383', '344', '247', '555']
['783', '190', '147', '415', '36', '396', '324']
['792', '622', '932', '698', '803', '392', '617']
['801', '388', '639', '380', '562', '366', '22']
['802', '557', '458', '664', '924', '97', '833']
['811', '114', '464']
['813']
['814', '682', '535', '573', '737', '403', '106']
['834', '129', '522', '343', '749', '967', '788']
['836', '851', '507', '667', '610', '354', '489']
['846', '123', '186', '448', '222', '150', '714']
['852', '768', '818', '713', '452', '685', '746']
['858', '90', '62', '80', '820', '0', '334']
['864', '199', '512', '905', '604', '585', '400']
['878', '241', '453', '56', '770', '734', '514']
['879', '138', '372', '182', '245', '517', '638']
['884']
['889', '898', '11', '172', '702', '774', '718']
['897', '33', '606', '249', '505', '593', '128']
['899', '515', '840', '270', '19', '27', '63']
['9', '110', '420', '838', '370', '297', '35']
['901']
['904', '695', '52', '283', '238', '845', '807']
['906', '263', '389', '168', '86', '588', '956']
['907', '96', '231', '158', '457', '808', '793']
['908', '970', '10', '672', '519', '733', '598']
['910', '331', '77', '209', '262', '523', '549']
['911', '670', '183', '539', '166', '817', '830']
['914']
['921', '434', '100', '854', '28', '51', '411']
['935', '471', '423', '143', '789', '892', '791']
['947', '478', '524', '758', '246', '965', '707']
['95', '260', '284', '401', '116', '178', '179']
['955', '408', '213', '821', '796', '235', '314']
['962', '492', '477', '256', '790', '922', '78']
['98', '225', '784', '556', '738', '966', '527']
