['0', '779', '384', '187', '444']
['44', '182', '497', '748', '687']
['452', '93', '198', '434', '322']
['457', '776', '409', '891', '578']
['461', '750', '374', '820', '926']
['462', '23', '885', '622', '140']
['466', '266', '645', '436', '90']
['478', '791', '604', '539', '89']
['48', '848', '442', '211', '606']
['490', '324', '400', '304', '448']
['491', '877', '882', '415', '251']
['493', '773', '895', '656', '729']
['496', '601', '853', '785', '792']
['500', '96', '716', '679', '614']
['504', '70', '550', '169', '190']
['507', '955', '392', '72', '95']
['509', '327', '371', '460', '168']
['512', '276', '925', '60', '476']
['518', '818', '253', '610', '731']
['523', '706', '799', '592', '621']
['524', '57', '884', '414', '505']
['537', '100', '180', '297', '995']
['545', '69', '359', '225', '640']
['548', '37', '964', '892', '344']
['55', '852', '894', '475', '330']
['552', '515', '709', '31', '953']
['557', '753', '893', '247', '863']
['559', '873', '973', '564', '16']
['56', '412', '150', '626', '153']
['560', '595', '443', '234', '123']
['570', '347', '173', '965', '154']
['573', '819', '728', '947', '223']
['574', '171', '593', '739', '959']
['575', '218', '352', '129', '40']
['577', '942', '623', '910', '338']
['58', '229', '566', '464', '62']
['582', '146', '585', '915', '999']
['586', '484', '540', '684', '148']
['589', '343', '74', '115', '814']
['607', '271', '4', '752', '824']
['615', '312', '783', '976', '786']
['624', '890', '674', '825', '549']
['625', '260', '361', '114', '349']
['627', '5', '807', '26', '817']
['628', '637', '541', '88', '243']
['629', '511', '209', '841', '612']
['638', '242', '987', '75', '730']
['641', '946', '859', '340', '348']
['649', '238', '289', '948', '635']
['654', '861', '176', '3', '102']
['663', '806', '353', '832', '77']
['665', '310', '499', '569', '521']
['667', '838', '192', '941', '195']
['668', '561', '789', '725', '666']
['670', '908', '83', '937', '246']
['681', '25', '59', '315', '147']
['685', '419', '804', '30', '839']
['686', '84', '850', '527', '183']
['689', '983', '54', '421', '833']
['695', '594', '405', '472', '471']
['697', '82', '698', '734', '661']
['702', '482', '815', '14', '22']
['703', '145', '565', '319', '754']
['707', '226', '270', '104', '927']
['711', '653', '514', '373', '473']
['724', '394', '278', '455', '449']
['727', '483', '492', '962', '643']
['733', '283', '726', '188', '723']
['737', '602', '191', '410', '831']
['745', '712', '386', '960', '46']
['757', '397', '203', '165', '844']
['759', '917', '231', '696', '424']
['76', '207', '286', '742', '644']
['763', '732', '98', '794', '220']
['774', '950', '184', '781', '61']
['782', '329', '793', '795', '761']
['784', '810', '676', '458', '245']
['788', '318', '886', '868', '801']
['790', '985', '912', '935', '274']
['798', '488', '688', '843', '968']
['800', '972', '470', '103', '556']
['811', '599', '261', '583', '690']
['821', '837', '930', '9', '591']
['822', '701', '222', '529', '938']
['827', '816', '506', '768', '513']
['836', '407', '854', '41', '112']
['840', '857', '896', '450', '64']
['842', '603', '911', '413', '517']
['847', '233', '487', '571', '356']
['860', '660', '309', '224', '463']
['870', '989', '49', '845', '101']
['871', '699', '508', '240', '172']
['872', '87', '388', '609', '979']
['878', '849', '876', '597', '657']
['883', '651', '141', '897', '720']
['887', '554', '770', '846', '633']
['888', '802', '874', '616', '34']
['901', '215', '65', '495', '357']
['905', '751', '533', '86', '636']
['913', '474', '124', '380', '957']
['919', '567', '921', '764', '683']
['92', '719', '143', '967', '600']
['920', '749', '94', '991', '875']
['923', '68', '747', '279', '766']
['924', '120', '439', '235', '881']
['928', '659', '454', '32', '78']
['939', '682', '588', '244', '970']
['943', '510', '662', '6', '118']
['952', '308', '423', '762', '532']
['961', '51', '528', '503', '956']
['980', '936', '259', '922', '929']
['981', '480', '809', '620', '408']
['982', '35', '33', '866', '933']
['986', '311', '671', '335', '678']
['99', '864', '869', '988', '389']
['996', '526', '110', '634', '201']
['998', '830', '437', '411', '230']
