['104', '868', '350', '191', '743', '570', '991', '939', '124', '41', '689', '849', '257', '234', '282', '524', '146', '773', '494', '988']
['612', '251', '114', '965', '672', '763', '859', '583', '537', '980', '618', '841', '301', '394', '277', '102', '319', '388', '541', '400']
['639', '682', '76', '480', '659', '656', '677', '585', '13', '792', '555', '373', '602', '390', '536', '754', '578', '341', '894', '106']
['643', '485', '833', '548', '885', '142', '575', '535', '127', '627', '295', '533', '460', '466', '704', '952', '580', '93', '317', '240']
['644', '996', '747', '283', '587', '8', '111', '953', '419', '144', '683', '429', '675', '876', '664', '456', '581', '916', '14', '870']
['649', '820', '764', '934', '748', '711', '717', '889', '306', '449', '26', '122', '843', '215', '745', '862', '100', '224', '562', '898']
['661', '477', '941', '692', '740', '330', '300', '662', '126', '80', '890', '101', '195', '505', '566', '184', '279', '946', '887', '997']
['668', '937', '424', '595', '728', '783', '983', '181', '354', '655', '554', '239', '386', '964', '646', '686', '753', '875', '791', '572']
['701', '82', '413', '710', '938', '243', '488', '810', '640', '185', '78', '337', '399', '884', '806', '351', '1', '199', '115', '949']
['709', '770', '128', '468', '171', '57', '503', '592', '139', '589', '450', '268', '486', '807', '577', '177', '832', '153', '794', '226']
['718', '42', '688', '56', '556', '286', '482', '673', '657', '493', '490', '290', '542', '624', '182', '739', '553', '955', '564', '133']
['751', '378', '866', '108', '352', '712', '614', '809', '816', '615', '804', '210', '446', '278', '296', '11', '349', '684', '158', '959']
['758', '720', '289', '389', '467', '981', '815', '973', '431', '691', '255', '331', '359', '942', '735', '732', '607', '281', '112', '29']
['774', '755', '205', '417', '471', '665', '176', '323', '492', '786', '404', '7', '917', '716', '299', '280', '161', '248', '715', '910']
['795', '479', '434', '35', '22', '496', '568', '628', '335', '905', '603', '975', '487', '324', '742', '840', '563', '2', '426', '911']
['825', '642', '784', '66', '453', '120', '829', '197', '125', '616', '653', '37', '12', '883', '408', '135', '702', '995', '222', '823']
['826', '960', '977', '313', '781', '904', '370', '327', '593', '395', '207', '244', '967', '447', '441', '986', '163', '845', '272', '203']
['838', '264', '543', '633', '545', '527', '212', '693', '167', '345', '168', '401', '623', '681', '309', '769', '270', '377', '238', '933']
['848', '86', '10', '530', '635', '853', '455', '329', '705', '383', '46', '225', '803', '219', '366', '513', '539', '36', '432', '483']
['851', '731', '384', '162', '776', '762', '382', '522', '666', '18', '645', '0', '734', '600', '438', '858', '654', '926', '528', '500']
['852', '962', '220', '32', '228', '254', '48', '423', '966', '831', '227', '138', '155', '943', '416', '175', '918', '687', '188', '976']
['872', '194', '81', '473', '700', '882', '690', '61', '579', '869', '511', '47', '573', '723', '609', '636', '362', '854', '379', '998']
['878', '358', '551', '24', '336', '216', '368', '507', '463', '695', '444', '74', '660', '21', '218', '948', '785', '518', '914', '790']
['902', '971', '552', '954', '671', '85', '789', '667', '96', '253', '448', '297', '242', '343', '291', '521', '896', '940', '71', '33']
['915', '725', '782', '217', '165', '857', '229', '576', '347', '629', '713', '698', '113', '159', '547', '637', '993', '209', '375', '729']
['927', '130', '312', '733', '741', '275', '891', '516', '28', '338', '425', '213', '75', '132', '38', '214', '174', '984', '30', '427']
['928', '721', '160', '310', '235', '143', '459', '749', '263', '261', '50', '610', '23', '766', '719', '584', '154', '293', '147', '314']
['932', '151', '515', '443', '757', '498', '569', '920', '625', '669', '322', '353', '850', '276', '856', '332', '950', '149', '469', '311']
['944', '819', '619', '367', '458', '771', '402', '879', '632', '836', '680', '519', '397', '871', '652', '363', '369', '546', '532', '462']
['963', '750', '173', '249', '288', '777', '326', '601', '170', '972', '374', '414', '145', '45', '780', '410', '16', '990', '91', '55']
